,,,,,,Initials:,se,,,se,se,se,se,,,,,,,,,,,
,,,,,,Start Time:,9:00:00 AM,9:04,9:08,9:00,9:00,9:00,9:00,,,,,,,,,,,
Tray,Rep,Treatment,Pop,Cell,Expect_count,Actual_count,7/24/2024,7/25/2024,7/26/2024,7/27/2024,7/28/2024,7/29/2024,7/30/2024,Notes,Cumulative_germ,Cumulative_germ_prop,,7/24/2024,7/25/2024,7/26/2024,7/27/2024,7/28/2024,7/29/2024,7/30/2024
1,1,05KNO3,YO1,A1_T1,5,5,0,0,0,0,0,0,1,Blotter paper was dry for many trays on 7/24 -- had to re-imbibe,1,0.2,Tray,Time,Time,Time,Time,Time,Time,Time
1,1,05KNO3,IH,A2_T1,5,5,0,0,0,0,1,0,1,,2,0.4,1,9:00,9:04,9:08,9:00,9:00,9:16,9:00
1,1,02KNO3,LVTR,A3_T1,5,5,0,0,0,0,0,0,0,,0,0,2,9:12,9:10,9:23,9:15,9:11,9:19,9:09
1,1,LS,DPR,A4_T1,5,5,0,0,0,0,0,0,0,,0,0,3,9:12,9:15,9:33,9:20,9:18,9:24,9:12
1,1,02KNO3,FR,A5_T1,5,5,0,0,0,0,0,0,0,,0,0,4,9:12,9:20,9:43,9:28,9:23,9:00,9:16
1,1,LS,CP2,A6_T1,5,5,0,0,1,2,0,0,0,,3,0.6,5,9:12,9:25,9:55,9:39,9:31,9:27,9:21
1,1,Control,SQ1,B1_T1,5,5,0,0,1,1,0,3,0,,5,1,6,9:12,9:30,9:58,9:45,9:36,9:32,9:27
1,1,LS,FR,B2_T1,5,5,0,0,0,0,1,0,0,,1,0.2,7,9:12,9:35,10:09,9:56,9:40,9:36,9:36
1,1,02KNO3,DPR,B3_T1,5,5,0,0,0,0,1,0,0,,1,0.2,8,9:12,9:40,10:19,10:02,9:46,9:42,9:42
1,1,LS,WL1,B4_T1,5,5,0,0,1,0,0,0,0,,1,0.2,9,9:12,9:45,10:28,10:13,9:53,9:44,9:44
1,1,Control,WL2,B5_T1,5,5,0,0,0,0,0,0,0,,0,0,10,9:12,9:50,10:42,10:22,9:57,9:50,9:49
1,1,02KNO3,WL2,B6_T1,5,5,0,0,0,0,0,0,0,,0,0,11,9:12,9:42,10:50,10:31,10:03,9:53,9:53
1,1,02KNO3,SQ1,C1_T1,5,5,0,0,0,2,1,0,0,,3,0.6,12,9:12,9:49,10:55,10:38,10:11,9:58,9:58
1,1,02KNO3,YO7,C2_T1,5,5,0,0,0,0,0,0,0,,0,0,13,9:09,9:48,11:05,10:48,10:18,10:03,10:03
1,1,LS,TM2,C3_T1,5,5,0,0,0,0,1,0,0,,1,0.2,14,9:09,9:51,11:25,10:54,10:24,10:09,10:09
1,1,02KNO3,TM2,C4_T1,5,5,0,1,0,0,0,0,0,,1,0.2,15,9:09,9:16,11:35,11:02,10:30,10:14,10:14
1,1,LS,LVTR,C5_T1,5,5,0,0,0,0,0,0,0,,0,0,16,9:09,9:21,11:40,11:10,10:31,10:17,10:20
1,1,05KNO3,SQ1,C6_T1,5,5,0,0,0,0,0,0,1,,1,0.2,17,9:09,9:30,11:48,11:17,10:38,10:26,10:27
1,1,LS,BH,D1_T1,5,5,0,0,0,0,0,0,0,,0,0,18,9:09,9:32,11:56,11:28,10:44,10:31,10:31
1,1,05KNO3,LVTR,D2_T1,5,5,0,0,0,0,0,0,0,,0,0,19,9:09,9:35,12:00,11:34,10:46,10:37,10:34
1,1,05KNO3,TM2,D3_T1,5,5,0,0,1,1,0,0,0,,2,0.4,20,9:09,9:39,12:07,11:38,10:51,10:41,10:39
